Category,Day,Month,Label,SequenceNumber,Set,Path1,Path2,Path3,Path4,Path5,Path6,Path7,Path8,Path9,Path10,Path11,Path12,Path13,Path14,Path15,Path16,Path17,Path18,Path19,Path20,Path21,Path22
no_voice,20,9,no,298,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0298.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0298.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,267,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0267.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0267.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,501,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0501.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0501.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,515,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0515.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0515.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,273,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0273.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0273.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,529,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0529.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0529.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,65,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0065.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0065.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,71,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0071.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0071.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,59,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0059.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0059.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,677,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0677.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0677.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,111,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0111.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0111.png,,,,,,,,,,,,,,,,,,,
