,Category,Day,Month,Label,SequenceNumber,Set,Path1,Path2,Path3,Path4,Path9,Path10,Path11,Path12,Path13,Path14,Path15,Path16,Path17,Path18,Path19,Path20,Path21,Path22
0,no_voice,6,12,turn-off,244,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch1/00244.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch2/00244.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch3/00244.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch4/00244.png,,,,,,,,,,,,,,
1,no_voice,5,12,lights-on,362,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch1/00362.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch2/00362.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch3/00362.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch4/00362.png,,,,,,,,,,,,,,
2,no_voice,6,12,turn-off,311,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch1/00311.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch2/00311.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch3/00311.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch4/00311.png,,,,,,,,,,,,,,
3,no_voice,6,12,turn-off,163,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch1/00163.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch2/00163.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch3/00163.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch4/00163.png,,,,,,,,,,,,,,
4,no_voice,6,12,turn-off,452,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch1/00452.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch2/00452.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch3/00452.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch4/00452.png,,,,,,,,,,,,,,
5,no_voice,6,12,lights-on,535,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch1/00535.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch2/00535.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch3/00535.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch4/00535.png,,,,,,,,,,,,,,
6,no_voice,6,12,turn-off,228,Validation,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch1/00228.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch2/00228.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch3/00228.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch4/00228.png,,,,,,,,,,,,,,
7,no_voice,6,12,lights-on,227,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch1/00227.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch2/00227.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch3/00227.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch4/00227.png,,,,,,,,,,,,,,
8,no_voice,6,12,turn-off,167,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch1/00167.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch2/00167.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch3/00167.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch4/00167.png,,,,,,,,,,,,,,
9,no_voice,5,12,lights-on,318,Validation,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch1/00318.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch2/00318.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch3/00318.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch4/00318.png,,,,,,,,,,,,,,
